,job_title,adv_job_title,description_languages,description_tools,description_databases,description_softskills,description_experience,description_qualification
34,data science analyst,data science analyst,"['r', 'python', 'sql']",[],[],"['analytics', 'analytics', 'customer', 'responsibility', 'mathematics', 'analytics', 'mining', 'computer science', 'data mining']","['4 year', '4 year', '3+ year']","['bachelor', 'master degree', '4 year degree']"
35,senior data analyst insight analytics team customer operation,data analyst,"['sql', 'r', 'python', 'sql', 'r', 'python']","['excel', 'bi', 'bi', 'chartio', 'looker', 'tableau']",[],"['mentorship', 'analytics', 'customer', 'customer', 'organization', 'customer', 'kpis', 'customer', 'analytics', 'analytics', 'customer', 'responsibility', 'kpis', 'customer', 'customer', 'analytics', 'customer', 'presentation', 'discipline', 'curiosity', 'mentorship', 'analytics', 'customer', 'data modeling', 'data cleaning']",[],"['bachelor', 'phd']"
36,data scientist,data scientist,"['python', 'r']",['business intelligence'],"['aws', 'redshift']","['creativity', 'experimentation', 'commitment', 'customer', 'kpis', 'team work']",['2+ year'],"['bachelor', 'bachelor degree']"
37,data scientist,data scientist,"['r', 'python', 'sql']",['excel'],[],"['responsibility', 'organization', 'customer', 'customer', 'kpis', 'management', 'accuracy', 'customer', 'accuracy', 'mathematics', 'communication', 'computer science', 'computer science', 'problem solving', 'verbal communication']","['3+ year', 'four year']","['bachelor', 'bachelor degree']"
38,data scientist alpha insight,data scientist,['r'],['panda'],[],"['management', 'responsibility', 'economics', 'innovation', 'creativity', 'communication', 'management', 'decision making', 'computer science']",['5 year'],['phd']
39,data scientist analytics,data science analyst,"['sql', 'sql', 'r', 'python']",[],[],"['accuracy', 'reliability', 'responsibility', 'decision making']",[],[]
40,data scientist,data scientist,[],[],[],[],[],[]
41,quantitative researcher quantitative research analyst,data analyst,"['python', 'r', 'c++']",[],[],"['mathematics', 'logical', 'computer science', 'problem solving']",[],[]
42,technical data consultant,others,['python'],['bi'],['redshift'],"['customer', 'customer', 'customer', 'customer', 'customer', 'management', 'customer', 'customer', 'customer', 'customer', 'customer', 'analytics', 'customer', 'kpis', 'customer', 'presentation', 'customer', 'mathematics', 'customer', 'curiosity', 'analytics', 'team work', 'project management', 'computer science']","['2+ year', '2+ year']",[]
43,data scientist instagram wellbeing trust,data scientist,"['sql', 'python', 'r']",[],[],"['organization', 'organization', 'analytics', 'responsibility', 'experimentation', 'mentorship', 'management', 'communication']","['6+ year', '2 year']",[]
44,data science analyst,data science analyst,"['r', 'python', 'sql']",['tableau'],[],"['organization', 'data modeling']",['2+ year'],[]
45,data scientist decision,data scientist,"['sql', 'python', 'r']","['sisense', 'looker', 'tableau']",[],"['planning', 'organization', 'analytics', 'mathematics', 'economics', 'computer science']","['2 year', '2 year']",[]
46,data scientist,data scientist,"['sql', 'python']","['panda', 'numpy', 'looker', 'google analytics']",[],"['analytics', 'organization', 'customer', 'organization', 'analytics', 'responsibility', 'analytics', 'planning', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'analytics', 'analytics', 'economics', 'mining', 'analytics', 'analytics', 'communication', 'decision making', 'computer science', 'data modeling', 'data mining']",['4+ year'],"['bachelor', 'phd', 'bachelor degree']"
47,data scientistlead data scientist,data scientist,"['r', 'python', 'julia', 'sql']",[],[],"['analytics', 'analytics', 'presentation']",['4 year'],[]
48,quantitative research analyst,data analyst,"['c++', 'r']",[],[],"['responsibility', 'mathematics', 'mining', 'data mining']",['3 year'],['phd']
49,data scientist analytics inference,data science analyst,"['python', 'r', 'javascript', 'sql', 'r', 'python']","['github', 'looker', 'tableau', 'business intelligence']",['redshift'],"['confidence', 'analytics', 'experimentation', 'experimentation', 'experimentation', 'analytics', 'experimentation', 'experimentation', 'empathy', 'decision making']",['3+ year'],[]
50,data analyst,data analyst,"['sql', 'python', 'c', 'c++', 'java']",['excel'],[],"['responsibility', 'scheduling', 'presentation', 'organization', 'communication', 'communication', 'written communication']",[],"['bachelor', 'bachelor degree']"
51,cib data scientist,data scientist,['python'],"['numpy', 'panda', 'spark', 'business intelligence']",[],"['analytics', 'analytics', 'analytics', 'organization', 'discipline', 'mathematics', 'economics', 'collaboration', 'client service', 'computer science', 'problem solving', 'problem solving']",[],['phd']
52,data scientist,data scientist,"['python', 'sql', 'r', 'python', 'sql', 'r']",[],[],"['mathematics', 'mentorship', 'leadership', 'leadership', 'computer science']",[],[]
53,data scientist,data scientist,['python'],[],[],"['responsibility', 'mathematics', 'mining', 'economics', 'collaboration', 'management', 'computer science', 'project management', 'computer science']","['4+ year', '2+ year']",[]
54,lead data scientist br,data scientist,[],[],[],"['innovation', 'collaboration', 'innovation', 'analytics', 'analytics', 'customer', 'customer', 'organization', 'management', 'management', 'leadership', 'analytics', 'mathematics', 'analytics', 'economics', 'discipline', 'problem solving', 'computer science']",[],"['bachelor', 'phd', 'bachelor degree', 'master degree']"
55,data scientist analytics inference,data science analyst,"['python', 'r', 'javascript', 'sql', 'r', 'python']","['github', 'looker', 'tableau', 'business intelligence']",['redshift'],"['analytics', 'experimentation', 'experimentation', 'experimentation', 'analytics', 'experimentation', 'experimentation', 'empathy', 'decision making']",['3+ year'],[]
56,data scientist,data scientist,"['python', 'r']",['excel'],[],"['analytics', 'creativity', 'analytics', 'organization', 'mathematics', 'computer science']",['six year'],['phd']
57,data scientist buyer experience,data scientist,"['python', 'sql', 'ml']",[],[],"['imagination', 'organization', 'organization', 'analytics', 'collaboration', 'communication', 'mathematics', 'experimentation', 'decision making']",[],['phd']
58,data scientist,data scientist,"['sql', 'python', 'r', 'r']",[],[],"['customer', 'customer', 'customer', 'mathematics', 'economics', 'communication', 'team work', 'computer science', 'written communication']","['3+ year', '2 year']","['bachelor', 'phd', 'bachelor degree']"
59,data scientist forecasting,data scientist,"['python', 'r', 'scala', 'r', 'stata', 'python', 'sql']",[],[],"['customer', 'organization', 'planning', 'communication', 'leadership', 'responsibility', 'customer', 'discipline', 'mathematics', 'analytics', 'economics', 'communication', 'communication', 'communication', 'management', 'computer science', 'written communication', 'project management']","['2+ year', '4+ year']",[]
60,data scientist machine learning platform,data scientist,"['ml', 'sql', 'python']",[],[],"['discipline', 'customer', 'innovation', 'analytics', 'analytics', 'communication', 'creativity']",[],[]
61,data scientist people analytics,data science analyst,"['r', 'r', 'python', 'sql']","['bi', 'qlik', 'tableau']",[],"['organization', 'analytics', 'planning', 'analytics', 'organization', 'responsibility', 'accuracy', 'analytics', 'analytics', 'collaboration', 'mathematics', 'storytelling', 'mining', 'commitment', 'commitment', 'professionalism', 'curiosity', 'mathematics', 'analytics', 'analytics', 'planning', 'analytics', 'leadership', 'innovation', 'decision making', 'decision making', 'data cleaning', 'data mining', 'work ethic', 'positive attitude']",['5 year'],['phd']
62,data scientist engineer,data scientist,['python'],[],['aws'],"['innovation', 'kpis', 'communication', 'management', 'project management', 'computer science']",[],[]
63,data scientist,data scientist,[],"['spark', 'periscope']","['redis', 'redshift', 'hive']","['experimentation', 'analytics', 'decision making']",[],[]
64,applied data scientist,data scientist,"['python', 'r', 'c++']",['tableau'],[],"['responsibility', 'collaboration', 'communication', 'computer science']",['2+ year'],"['bachelor', 'master degree']"
65,data scientist analytics engineer,data scientist,"['python', 'java', 'c++', 'r', 'sql']","['spark', 'numpy', 'panda']",['hive'],"['analytics', 'management', 'responsibility', 'collaboration', 'organization', 'management', 'client service', 'problem solving', 'client service']",[],"['bachelor', 'bachelor degree']"
66,people analytics data scientist,data science analyst,"['r', 'python', 'sql', 'forth']","['tableau', 'bi', 'business intelligence', 'power bi']",[],"['analytics', 'analytics', 'customer', 'communication', 'analytics', 'management', 'management', 'communication', 'management', 'customer service', 'problem solving']",['five year'],['bachelor']
67,data scientist,data scientist,"['python', 'sql', 'ml']",[],[],"['analytics', 'communication', 'presentation', 'flexibility', 'analytics', 'commitment', 'accuracy', 'analytics', 'responsibility', 'management', 'kpis', 'team work', 'multi tasking']",['3+ year'],"['phd', 'phd']"
68,credit analytics manager,data analyst,"['python', 'sql', 'r']",['excel'],[],"['customer', 'customer', 'customer', 'analytics', 'analytics', 'management', 'responsibility', 'analytics', 'economics', 'mathematics', 'management', 'flexibility', 'industrial engineering', 'business acumen']",['5+ year'],[]
69,data scientist nationwide opportunity,data scientist,"['ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'ml', 'python', 'r', 'scala', 'java', 'c++', 'sql', 'ml']",[],"['aws', 'aws', 'aws', 'aws', 'aws', 'aws', 'aws']","['customer', 'customer', 'customer', 'customer', 'customer', 'responsibility', 'customer', 'organization', 'customer', 'customer', 'mathematics', 'presentation', 'mathematics', 'presentation', 'discipline', 'customer', 'organization', 'prioritizing', 'computer science', 'computer science', 'data modeling']",['4+ year'],"['bachelor', 'phd', 'bachelor degree']"
70,data scientist,data scientist,"['sql', 'postgresql', 'r', 'python', 'c']","['looker', 'notebook', 'bi', 'looker', 'bi', 'tableau', 'looker', 'google analytics']",['postgresql'],"['organization', 'organization', 'curiosity', 'organization', 'kpis', 'analytics', 'analytics', 'management', 'curiosity', 'organization', 'organization', 'mathematics', 'economics', 'organization', 'goal setting', 'decision making']","['3 year', '3 year', '3 year', '3+ year']",[]
71,data scientist,data scientist,['python'],[],[],"['organization', 'responsibility', 'communication', 'computer science', 'written communication']",['5+ year'],[]
72,data scientist,data scientist,"['sql', 'python']",[],[],"['responsibility', 'communication', 'curiosity', 'authenticity', 'empathy']",['2+ year'],[]
73,data scientist power bi,data scientist,"['sql', 'sql']",['excel'],['sql server'],[],[],[]
74,data engineer python,data engineer,"['python', 'python', 'java', 'scala', 'r']",[],['aws'],"['collaboration', 'communication', 'empathy', 'honesty', 'customer', 'management', 'mathematics', 'reliability', 'tolerance', 'customer', 'customer', 'customer', 'project management', 'computer science']","['3+ year', '3+ year', '3+ year']","['bachelor', 'bachelor degree']"
75,data scientist next gen digital investing app,data scientist,"['python', 'c++', 'r', 'julia', 'python', 'c++', 'r', 'julia']",[],[],"['communication', 'responsibility']",['5 year'],[]
76,data scientist,data scientist,['java'],[],[],"['customer', 'mathematics', 'mining', 'accuracy', 'customer', 'management', 'computer science', 'problem solving']","['2+ year', '2+ year']",[]
77,data scientist disney streaming service,data scientist,"['python', 'r', 'c']","['tableau', 'looker', 'panda', 'spark']",[],"['organization', 'analytics', 'customer', 'experimentation', 'analytics', 'customer', 'analytics', 'customer', 'customer', 'mathematics', 'mathematics', 'data modeling', 'data modeling', 'data modeling', 'work ethic', 'computer science']","['3+ year', '3+ year']","['bachelor', 'phd', 'bachelor degree']"
78,data scientist technical lead,data scientist,"['r', 'python']",['panda'],[],"['discipline', 'economics', 'management', 'leadership', 'discipline', 'economics', 'mathematics', 'leadership', 'management', 'organization', 'leadership', 'responsibility', 'presentation', 'presentation', 'computer science', 'electrical engineering', 'industrial engineering', 'decision making', 'team work']","['10 year', '5 year', '8 year']",['master degree']
79,healthcare data scientist,data scientist,"['sql', 'sql']",['excel'],[],"['analytics', 'management', 'management', 'prioritizing', 'communication', 'project management', 'written communication', 'problem solving']",['five year'],"['phd', 'phd']"
80,data scientist relocate washington dc,data scientist,[],[],[],"['collaboration', 'innovation', 'innovation', 'innovation', 'mathematics', 'analytics', 'economics', 'mathematics', 'creativity', 'leadership', 'communication', 'organization', 'computer science', 'problem solving', 'verbal communication']",[],"['bachelor', 'bachelor degree']"
81,senior data scientist,data scientist,"['sql', 'r']","['tableau', 'sap', 'business intelligence']",[],"['analytics', 'management', 'analytics', 'mining', 'analytics', 'leadership', 'presentation', 'presentation', 'communication', 'teamwork', 'management', 'management', 'management', 'presentation', 'mining', 'management', 'management', 'leadership', 'analytics', 'analytics', 'economics', 'analytics', 'management', 'leadership', 'communication', 'customer', 'communication', 'data mining', 'data modeling', 'data mining', 'computer science', 'problem solving', 'critical thinking', 'oral communication']","['3+ year', '5+ year']",['phd']
82,data scientist,data scientist,"['python', 'sql']",[],['aws'],"['leadership', 'communication', 'customer', 'oral communication']",['5 year'],"['phd', 'master degree']"
83,data scientistengineer sa r code python sql open remote worker,others,"['r', 'python', 'sql']",[],[],"['customer', 'customer', 'analytics', 'leadership', 'communication', 'presentation', 'commitment', 'innovation', 'analytics', 'computer science']",['5+ year'],"['phd', 'phd']"
84,data scientist analytics instagramfamily story,data science analyst,"['sql', 'r', 'python', 'julia']",[],[],"['leadership', 'responsibility', 'coordination', 'prioritizing', 'accuracy', 'accuracy', 'accuracy', 'decision making']",['5+ year'],[]
85,data scientist,data scientist,['python'],[],[],"['experimentation', 'motivation', 'communication', 'written communication']",[],[]
86,point data scientist,data scientist,"['python', 'sql']",[],[],"['management', 'responsibility', 'communication', 'verbal communication']",['3+ year'],['phd']
87,data scientist ii data model decision,data scientist,"['python', 'python']","['spark', 'panda']",[],"['customer', 'motivation', 'organization', 'analytics', 'mathematics', 'experimentation', 'decision making', 'goal oriented', 'computer science']",['5+ year'],['phd']
88,data scientist,data scientist,"['scala', 'python', 'python']",['spark'],[],"['responsibility', 'mathematics', 'economics', 'discipline', 'computer science']","['5 year', '2+ year']",['phd']
89,data scientistdata architect,others,"['java', 'scala', 'python']",['spark'],['azure'],[],[],[]
90,ai quantitative research scientist,data scientist,['swift'],[],[],"['customer', 'accuracy', 'customer', 'customer', 'mathematics', 'computer science']",['3+ year'],['phd']
91,data scientist,data scientist,['python'],"['panda', 'jupyter', 'notebook', 'jupyter notebook']","['aws', 'azure']","['customer', 'reliability', 'analytics', 'customer', 'customer', 'analytics', 'mining', 'analytics', 'mathematics', 'mathematics', 'data mining', 'decision making', 'computer science', 'computer science']","['3+ year', '3+ year', '3+ year', '2+ year']","['bachelor', 'phd', 'bachelor degree']"
92,data scientist altdata,data scientist,"['python', 'r', 'sql']",[],[],"['management', 'flexibility', 'mathematics', 'economics', 'analytics', 'communication', 'economics', 'computer science']",['5 year'],"['bachelor', 'phd', 'master degree']"
93,data analyst,data analyst,"['stata', 'r']",[],[],"['innovation', 'management', 'planning', 'responsibility', 'presentation', 'presentation', 'management', 'economics', 'organization', 'management', 'communication', 'planning', 'motivation', 'organization', 'time management', 'problem solving', 'critical thinking']",['2 year'],"['bachelor', 'master degree', 'bachelor degree']"
94,data scientist,data scientist,"['python', 'r', 'scala', 'ml', 'r', 'python', 'sql']","['spark', 'spark', 'excel', 'tableau', 'business intelligence']",['azure'],"['customer', 'customer', 'customer', 'customer', 'analytics', 'management', 'analytics', 'leadership', 'management', 'communication', 'management', 'leadership', 'analytics', 'analytics', 'management', 'communication', 'economics', 'mathematics', 'mathematics', 'mathematics', 'project management', 'oral communication', 'decision making', 'computer science']","['3 year', '3 year']","['bachelor', 'bachelor degree', 'master degree', 'master degree']"
95,data scientist,data scientist,"['c', 'ml', 'ml', 'r', 'c', 'python', 'stata', 'r', 'python']","['spark', 'tableau', 'spark', 'panda', 'numpy']",[],"['innovation', 'analytics', 'responsibility', 'analytics']",[],[]
96,data scientist recommendation,data scientist,"['python', 'sql', 'python', 'sql']",[],"['aws', 'aws', 'azure', 'aws', 'aws', 'azure']","['customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'creativity', 'organization', 'diplomacy', 'discipline', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'customer', 'creativity', 'organization', 'diplomacy', 'discipline', 'computer science', 'computer science']","['1+ year', '1+ year']","['phd', 'phd']"
97,data scientist analytics insight,data science analyst,"['r', 'python', 'sql', 'r', 'python', 'sql']","['bi', 'tableau', 'bi', 'bi', 'tableau', 'bi', 'power bi', 'google analytics', 'power bi', 'google analytics']",[],"['analytics', 'analytics', 'analytics', 'innovation', 'analytics', 'customer', 'organization', 'management', 'leadership', 'analytics', 'curiosity', 'communication', 'teamwork', 'analytics', 'mathematics', 'economics', 'customer', 'customer', 'customer', 'customer', 'customer', 'creativity', 'organization', 'diplomacy', 'discipline', 'analytics', 'analytics', 'analytics', 'innovation', 'analytics', 'customer', 'organization', 'management', 'leadership', 'analytics', 'curiosity', 'communication', 'teamwork', 'analytics', 'mathematics', 'economics', 'customer', 'customer', 'customer', 'customer', 'customer', 'creativity', 'organization', 'diplomacy', 'discipline', 'computer science', 'computer science']","['5+ year', '5+ year']","['bachelor', 'bachelor']"
98,data scientist,data scientist,['python'],[],[],"['analytics', 'mining', 'mining', 'analytics', 'curiosity', 'communication', 'problem solving', 'decision making', 'problem solving', 'data cleaning']",[],"['bachelor', 'phd']"
99,machine learning engineerscientist,others,"['ml', 'ml', 'ml', 'ml', 'ml']",[],[],['responsibility'],[],[]
100,point healthcare data scientist,data scientist,"['sql', 'python', 'r', 'c++']",[],[],"['management', 'responsibility', 'analytics', 'economics', 'mathematics', 'discipline', 'computer science']",['4+ year'],[]
101,senior data scientist automated marketing,data scientist,"['sql', 'r', 'python']","['tableau', 'business intelligence', 'google analytics']",[],"['analytics', 'analytics', 'experimentation', 'organization', 'experimentation', 'coordination', 'innovation', 'experimentation', 'analytics', 'analytics', 'creativity', 'decision making', 'decision making']",['4+ year'],[]
102,data scientist,data scientist,[],[],[],"['analytics', 'customer', 'management', 'organization']",[],['phd']
103,data scientist,data scientist,"['r', 'sql', 'python', 'java', 'c', 'c++']",['bi'],[],"['customer', 'analytics', 'analytics', 'analytics', 'organization', 'mining', 'discipline', 'analytics', 'mining', 'data mining', 'data mining']",['3+ year'],"['phd', 'master degree', 'master degree']"
104,machine learning data engineer remote,data engineer,"['java', 'python', 'scala', 'sql', 'ml', 'python']","['apache', 'spark', 'panda']","['redshift', 'aws']","['honesty', 'collaboration']",[],[]
105,data scientist,data scientist,"['sql', 'python', 'r']",[],['aws'],"['customer', 'communication', 'customer', 'customer', 'communication', 'experimentation', 'analytics', 'business acumen', 'decision making', 'business acumen']",['1 year'],[]
106,data scientist,data scientist,[],[],[],"['responsibility', 'presentation', 'communication', 'commitment', 'presentation', 'management', 'decision making', 'computer science', 'problem solving', 'project management']",['5+ year'],"['bachelor', 'phd']"
107,data scientist statistician,data scientist,"['python', 'r', 'sql', 'python', 'r', 'c++']",[],[],"['responsibility', 'collaboration', 'communication', 'discipline', 'confidence']","['3+ year', '6+ year']",[]
108,data analyst,data analyst,"['sql', 'python', 'r', 'scala']","['excel', 'spark']",[],"['analytics', 'responsibility', 'analytics', 'customer', 'management', 'data modeling', 'customer service', 'computer science', 'problem solving', 'project management']",[],[]
109,data scientist java,data scientist,['java'],[],[],"['responsibility', 'mathematics', 'mining', 'accuracy', 'customer', 'management', 'computer science', 'problem solving']","['2+ year', '2+ year', '2+ year']",['bachelor']
110,data scientist,data scientist,"['java', 'python', 'scala', 'c', 'c++', 'python', 'scala', 'python', 'r']","['numpy', 'panda', 'spark', 'numpy', 'apache', 'spark', 'apache spark']",['cassandra'],"['management', 'management', 'curiosity', 'computer science', 'computer science']",['two year'],"['bachelor', 'master degree']"
111,data scientist,data scientist,"['java', 'python', 'scala', 'r', 'sql']",[],"['aws', 'redshift']","['analytics', 'customer', 'mining', 'organization', 'economics', 'mining', 'communication', 'analytics', 'management', 'leadership', 'computer science']",['2 year'],['bachelor']
112,data scientist,data scientist,"['r', 'python', 'r', 'python', 'sql']","['excel', 'tableau', 'bi', 'power bi']",[],"['storytelling', 'creativity', 'responsibility', 'analytics', 'customer', 'analytics', 'customer', 'analytics', 'communication', 'analytics', 'curiosity', 'collaboration', 'confidence', 'honesty', 'team work', 'problem solving', 'verbal communication']","['5 year', '4 year']",[]
113,statistician data scientist month roster direct hire,data scientist,"['sql', 'c', 'r', 'python', 'sql', 'java']","['oracle', 'business intelligence']",['oracle'],"['responsibility', 'planning', 'management', 'leadership', 'reliability', 'mining', 'customer', 'reliability', 'communication', 'innovation', 'coordination', 'mathematics', 'economics', 'economics', 'responsibility', 'management', 'planning', 'analytics', 'mining', 'analytics', 'critical thinking', 'problem solving', 'decision making', 'data mining', 'written communication', 'project management', 'data mining']","['one year', 'one year']","['bachelor', 'bachelor degree']"
114,data scientist,data scientist,"['sql', 'python']","['tableau', 'excel']",[],"['analytics', 'mathematics', 'analytics', 'analytics', 'communication', 'problem solving']",['5+ year'],[]
115,data science specialist usa,data scientist,"['ml', 'r', 'sql']",['numpy'],"['hive', 'pig', 'mongodb', 'cassandra', 'hbase']","['communication', 'organization', 'experimentation', 'innovation', 'computer science', 'team work']",[],[]
116,senior data scientist,data scientist,"['python', 'scala']",['spark'],[],"['analytics', 'discipline', 'organization', 'responsibility', 'responsibility', 'experimentation']",['5+ year'],['phd']
117,data scientist,data scientist,"['ml', 'python', 'scala']","['mode', 'spark']",[],"['experimentation', 'curiosity', 'customer', 'critical thinking']","['3+ year', '2+ year']",[]
